,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
471,B092JHPL72,"SWAPKART Flexible Mobile Tabletop Stand, Metal Built, Heavy Duty Foldable Lazy Bracket Clip Mount Multi Angle Clamp for All Smartphones (Pack of 1), Multi Color",251.0,999.0,3.7,3234.0,Electronics,Mounts,75.0,very good
475,B09J2MM5C6,Amozo Ultra Hybrid Camera and Drop Protection Back Cover Case for iPhone 13 (TPU + Polycarbonate | Crystal Transparent),279.0,1499.0,4.2,2646.0,Electronics,Cases&Covers,81.0,excellent
476,B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",269.0,1499.0,4.5,28978.0,Electronics,Stands,82.0,excellent
478,B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),59.0,199.0,4.0,9377.0,Computers&Accessories,Cables,70.0,excellent
480,B08K4PSZ3V,"Tukzer Capacitive Stylus Pen for Touch Screens Devices, Fine Point, Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (Grey)",349.0,999.0,3.8,16557.0,Electronics,StylusPens,65.0,very good
482,B08K4RDQ71,"Tukzer Capacitive Stylus Pen for Touch Screens Devices, Fine Point, Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (White)",349.0,999.0,3.8,16557.0,Electronics,StylusPens,65.0,very good
483,B085CZ3SR1,Mi 10W Wall Charger for Mobile Phones with Micro USB Cable (Black),499.0,599.0,4.2,21916.0,Electronics,Chargers,17.0,excellent
485,B09Z6WH2N1,"STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector, Mouse Cable Protector, Suit for All Cell Phones, Computers and Chargers (White)",95.0,499.0,4.2,1949.0,Electronics,Décor,81.0,excellent
486,B09NL4DJ2Z,"FLiX (Beetel) USB to Type C PVC Data Sync & 2A Smartphone Fast Charging Cable, Made in India, 480Mbps Data Sync, Tough Cable, 1 Meter Long USB Cable for USB Type C Devices Black XCD-C12",139.0,249.0,4.0,9377.0,Computers&Accessories,Cables,44.0,excellent
488,B0926V9CTV,Elv Mobile Phone Mount Tabletop Holder for Phones and Tablets - Black,89.0,599.0,4.3,2351.0,Electronics,Stands,85.0,excellent
493,B07GNC2592,Portronics CLAMP X Car-Vent Mobile Holder 360 Degree Rotational(Black),599.0,999.0,4.0,18654.0,Electronics,AutomobileAccessories,40.0,excellent
494,B09TP5KBN7,"pTron Volta Dual Port 12W Smart USB Charger Adapter, Multi-Layer Protection, Made in India, BIS Certified, Fast Charging Power Adaptor Without Cable for All iOS & Android Devices (Black)",199.0,1099.0,4.0,3197.0,Electronics,Chargers,82.0,excellent
505,B084DTMYWK,Myvn 30W Warp/20W Dash Charging Usb Type C Charger Cable Compatible For Cellular Phones Oneplus 8T 8 8Pro 7 Pro / 7T / 7T Pro Nord And Oneplus 3 / 3T / 5 / 5T / 6 / 6T / 7,329.0,999.0,4.2,3492.0,Electronics,Chargers,67.0,excellent
514,B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",99.0,666.66,3.9,24870.0,Computers&Accessories,Cables,85.0,very good
516,B09JS94MBV,"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Dark Blue",1399.0,1630.0,4.0,9378.0,Electronics,BasicMobiles,14.0,excellent
519,B09NL4DCXK,"Flix (Beetel) Bolt 2.4 12W Dual USB Smart Charger, Made in India, Bis Certified, Fast Charging Power Adaptor with 1 Meter USB to Type C Cable for Cellular Phones (White)(Xwc-64D)",249.0,599.0,3.9,2147.0,Electronics,Chargers,58.0,very good
520,B0B8CHJLWJ,Kyosei Advanced Tempered Glass Compatible with Google Pixel 6a with Military-Grade Anti-Explosion Edge-to-Edge Coverage Screen Protector Guard,299.0,1199.0,4.5,596.0,Electronics,"Maintenance,Upkeep&Repairs",75.0,excellent
521,B0B8ZWNR5T,"STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector, Mouse Cable Protector, Suit for All Cell Phones, Computers and Chargers (Black)",79.0,499.0,4.2,1949.0,Electronics,Décor,84.0,excellent
523,B01F262EUU,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black",949.0,999.0,4.2,31539.0,Electronics,In-Ear,5.0,excellent
524,B09VZBGL1N,"STRIFF Multi Angle Tablet/Mobile Stand. Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Stand.Perfect for Bed,Office, Home,Gift and Desktop (Black)",99.0,499.0,4.1,2451.0,Electronics,Stands,80.0,excellent
